state_id,state_name,region
1,Andhra Pradesh,South
2,Arunachal Pradesh,Northeast
3,Assam,Northeast
4,Bihar,East
5,Chhattisgarh,Central
6,Delhi,North
7,Goa,West
8,Gujarat,West
9,Haryana,North
10,Himachal Pradesh,North
11,Jammu and Kashmir,North
12,Jharkhand,East
13,Karnataka,South
14,Kerala,South
15,Madhya Pradesh,Central
16,Maharashtra,West
17,Manipur,Northeast
18,Meghalaya,Northeast
19,Mizoram,Northeast
20,Nagaland,Northeast
21,Odisha,East
22,Punjab,North
23,Rajasthan,North
24,Sikkim,Northeast
25,Tamil Nadu,South
26,Telangana,South
27,Tripura,Northeast
28,Uttar Pradesh,North
29,Uttarakhand,North
30,West Bengal,East
